p21003_i0,p31,p54_i0,storage_time,p1558_i0,p20116_i0,p23099_i0,p1160_i0,p22189,p884_i0,p1438_i0,p6138_i0,p1528_i0,p1458_i0,grip_strength,p1289_i0,p1299_i0,p1309_i0,p1319_i0,p1329_i0,p1339_i0,p1349_i0,p1359_i0,p1369_i0,p1379_i0,p1389_i0
0.027409468144465043,0.3094904869731111,0.022167906626993993,0.017588624673871765,-0.0005501368876599791,0.001967884623131221,-0.21949516195937588,-0.0030344193435091022,0.04538690302233994,0.05069184724569816,,0.016341196510024348,-0.07350251588761607,-0.04165591623119142,0.2196791658985534,-0.011486496679410891,-0.08087117043596703,-0.08452082156490233,-0.048439286265172674,-0.00042349242375906417,-0.002001078883753381,-0.10660155097320828,0.01882188907218532,-0.010909245913773825,-0.00395330651234979,0.003129996134315737
0.12605509850752722,0.2247028975663073,0.2398232674988701,0.013245789692124744,0.28989636589788903,0.24282686209677212,0.12621907160345755,0.12710894730492867,0.07364849502130383,0.040221864229472784,0.01634119651002434,,-0.03202583369330039,-0.021817794681673327,-0.08425780692296678,-0.0012762158305596933,-0.01143749093372802,-0.03801821727603026,-0.056472482423904034,0.2592563968801256,0.25890733763298956,0.3042250035786403,0.36032920496832177,0.2354239559252043,0.18213785613805544,0.18665251144508097
-0.11838293978788723,-0.11943294969521241,-0.02082430508675895,0.015136423825207761,0.01826575645408721,0.01594982087620369,0.07756484264276527,-0.025813996763783906,0.04212504371016219,0.05950408748292027,-0.07350251588761607,-0.03202583369330039,,0.02464557333393979,-0.07032843331656592,0.0936965200654842,0.15474839335781376,0.18672063772443576,0.08424678375419813,-0.045441218281835866,-0.04202551154207283,0.039759597380619884,-0.046058498388725715,0.0008553807203467476,0.003980674103728307,0.0006548739042334364
0.10363023356158836,-0.019149930580498076,0.015375138917839976,0.0006050916188038926,0.04932540367365115,0.029427069601695034,-0.03670296077386884,0.03578806872433742,-0.094886073332307,0.03266055674934651,-0.04165591623119143,-0.021817794681673327,0.02464557333393979,,-0.02458168997043205,0.02197992366667788,0.010779460600278318,0.12371171071365569,0.12578115469046466,-0.0011371861815287375,0.006044075656921448,0.050227005233435554,0.0028077942245876165,0.00783643583735198,-0.009765933383655234,-0.0016080926650772305
-0.19093258377399053,0.7327481210476009,-0.0076622014808040905,0.05184555964621354,-0.03027452100649642,0.0232115806827472,-0.5393930721447704,-0.018958085093302896,-0.04986493851237674,0.026421145373956643,0.2196791658985534,-0.08425780692296678,-0.07032843331656592,-0.02458168997043205,,0.001883967222673302,-0.05920692118932376,-0.08755362292072673,-0.04838509929705335,-0.004107294308469764,-0.002101766952547326,-0.0994539364206573,-0.021184105585941155,-0.004306888829897083,-0.013260778168352673,-0.024414382426174067
0.09691746188843178,0.0024273082880673443,0.011988944720422168,-0.014962127608060203,-0.007488772768930684,0.0543565441237237,0.008410129923026788,0.011614936519123853,-0.023265524970905418,0.08964299368575915,-0.011486496679410894,-0.0012762158305596747,0.09369652006548419,0.02197992366667787,0.0018839672226733059,,0.33100374658502163,0.16402225999433578,0.10336517878666703,-0.04123975127326168,-0.018786252279425576,0.029056488545430015,-0.03717397468279031,-0.000822290703799093,0.02222024222090547,0.02636312188864933
0.0041916437391985315,-0.10441045053819482,0.004175145245977963,-0.00518122520929081,-0.0009422110164786025,0.043646884763510946,0.049769569028979804,-0.006884140537981232,-0.002964732550077021,0.09269419416694602,-0.08087117043596702,-0.011437490933728027,0.15474839335781376,0.010779460600278349,-0.05920692118932376,0.3310037465850217,,0.23322589682710307,0.12342873906624446,-0.061136701129633396,-0.05388821637721059,0.034854258535767506,-0.034654052947571394,0.006912773345509393,-0.0013202147536397974,0.002865433024029098
0.07953910490913865,-0.11712628776334807,0.006178495545726677,0.008844826938982983,0.04458089865512941,0.05710082961633255,0.06283289193998975,-0.015339092896922424,-0.03168172968947413,0.08780959590960291,-0.08452082156490233,-0.0380182172760303,0.18672063772443576,0.12371171071365568,-0.08755362292072676,0.16402225999433578,0.23322589682710307,,0.18193359461577516,-0.0594105302995607,-0.030449704774275433,0.06418780790401823,-0.022969409531104497,0.0026204239294131924,-0.0008309126345457014,-0.0007181047994149265
0.09196575600231811,-0.06442441039831454,0.00305900495322626,-0.006210961831233527,0.01031492579602004,0.02004049617417121,-0.013004739149846027,0.002186284897950583,-0.03613846016555876,0.07249256556919689,-0.04843928626517268,-0.056472482423904034,0.08424678375419813,0.12578115469046466,-0.048385099297053355,0.10336517878666703,0.12342873906624444,0.18193359461577516,,-0.04291507347548066,-0.010175250345687002,0.04455531627104836,0.00816102050926111,0.0004343850876843533,-0.00022176668465601987,-0.004980203499367717
-0.029474196979777562,0.2684672469699344,0.31363240524006014,-0.005123680872817222,0.3420753412630345,0.3024512450919736,0.007109477941726099,0.21520432457601235,-0.007056234819331543,-0.02422510042742812,-0.0004234924237590663,0.2592563968801256,-0.04544121828183588,-0.001137186181528739,-0.004107294308469759,-0.04123975127326166,-0.06113670112963337,-0.059410530299560685,-0.04291507347548066,,0.28839340648447886,0.34535181982120416,0.38190437918558817,0.2919162146344833,0.25719947192513515,0.2599638456155485
0.027033315518731452,0.2652504179498802,0.31491924692958306,-0.0015133442582356438,0.3415803963266155,0.2992332714436394,-0.0063101118690130804,0.2146275986559064,-0.01448535457540013,-0.012385437138269345,-0.0020010788837533824,0.25890733763298956,-0.04202551154207283,0.006044075656921463,-0.002101766952547326,-0.018786252279425587,-0.05388821637721059,-0.030449704774275447,-0.01017525034568701,0.28839340648447886,,0.33948302872805225,0.37630526157093913,0.29000670385232147,0.25627758897414654,0.2596195738454107
0.014713764944296341,0.3313915053415995,0.3306890055573052,0.0031013457884433815,0.36798809099741503,0.33218123525059967,0.05917217194801117,0.2494225205746526,-0.02133928415189715,0.005938369550028789,-0.10660155097320827,0.3042250035786403,0.03975959738061987,0.05022700523343554,-0.0994539364206573,0.02905648854542999,0.0348542585357675,0.06418780790401823,0.04455531627104839,0.34535181982120416,0.33948302872805225,,0.40250462082327904,0.31947238515521353,0.2926834533951354,0.29398939522210515
0.0826637370922895,0.3599147968838995,0.3606687850348728,-0.001298212343326929,0.41344156928468123,0.38427537421495056,-0.04369965753643351,0.29987175827432444,0.025281032814253708,-0.00013924295304916596,0.018821889072185315,0.36032920496832177,-0.046058498388725715,0.0028077942245876234,-0.021184105585941162,-0.037173974682790316,-0.03465405294757141,-0.022969409531104497,0.008161020509261098,0.38190437918558817,0.37630526157093913,0.40250462082327904,,0.36340129192418624,0.3433189284394482,0.3469816771331423
-0.010517934274668529,0.24567529376775626,0.3010804831189646,-0.008368392926012156,0.32589651861327223,0.27832409191032004,-0.008466767562060159,0.19132405435806638,0.0016429528901689356,-0.00030704475480962737,-0.010909245913773822,0.2354239559252043,0.0008553807203467414,0.007836435837351961,-0.004306888829897087,-0.0008222907037990862,0.006912773345509388,0.0026204239294132002,0.0004343850876843679,0.2919162146344833,0.29000670385232147,0.31947238515521353,0.36340129192418624,,0.20859936846115723,0.22088408506764154
0.043012016847694665,0.19835465487039813,0.2825946547795265,0.009902147352824821,0.2996462793166045,0.23907653397763345,0.009451384334170846,0.14420769555437163,0.020773771060691757,0.0165392238647998,-0.003953306512349786,0.18213785613805544,0.003980674103728289,-0.009765933383655223,-0.013260778168352676,0.022220242220905462,-0.0013202147536397982,-0.0008309126345456751,-0.00022176668465601502,0.25719947192513515,0.25627758897414654,0.2926834533951354,0.3433189284394482,0.20859936846115723,,0.1598354512547266
0.030328252939923483,0.20444078503667165,0.2835433300145901,-0.00028937293192162703,0.3015914730279511,0.24291009833711683,0.01641476202052279,0.1487345770536415,0.016535384040952183,0.010422600221630036,0.0031299961343157386,0.18665251144508097,0.0006548739042334452,-0.0016080926650772396,-0.024414382426174067,0.026363121888649352,0.0028654330240290944,-0.0007181047994148992,-0.00498020349936773,0.2599638456155485,0.2596195738454107,0.29398939522210515,0.3469816771331423,0.22088408506764154,0.1598354512547266,
