coefficient,hazard_ratio,pvalue,covar,disease
0.028869644746233224,1.029290412316749,0.1950242098399585,Cereal intake,p131022
0.02734728669934093,1.0277246558983073,0.41586254582357163,Water intake,p131022
-0.011005634652417974,0.9890547057801783,0.7299657477044053,Alcohol intake frequency,p131036
0.14922936836715112,1.160939241411166,0.00520731489270431,Smoking status,p131036
0.011829760918050665,1.0119000092735306,0.06517421290968124,% body fat,p131036
0.09083629846642535,1.0950897227174416,0.12952380090559582,Hours slept per day,p131036
0.023364371289545646,1.0236394564317584,0.20760252816835076,TDI,p131036
0.5124181633466683,1.669323013908776,3.4236604129724967e-4,Education,p131036
0.06719652967108279,1.0695056471147562,0.006798152668615474,Days/week moderate activity,p131036
-0.032558970646716666,0.9679653666045371,4.171807347320947e-8,Grip strength,p131036
0.043583342731418916,1.044547046088326,0.001297020540980617,Cooked veg intake,p131036
0.015962746937040116,1.0160908322052802,0.43048165325073845,Raw veg intake,p131036
0.09409134907497532,1.098660102917458,6.473804087869134e-4,Fresh fruit intake,p131036
0.05741017278902359,1.0590901312690788,4.0117108369662665e-5,Dried fruit intake,p131036
-0.11913292956830067,0.8876897926978151,0.004977966687321149,Oily fish intake,p131036
-0.04462444135476679,0.9563565823796601,0.26699763621757483,Non-oily fish intake,p131036
-0.06383296563393401,0.938161691687316,0.0759216250784751,Processed meat intake,p131036
0.01249077922039502,1.012569114820946,0.6891461703987191,Poultry intake,p131036
0.03802326585750118,1.0387554001324788,0.4268777354035393,Beef intake,p131036
0.11323318461071981,1.1198930443274144,0.0753147042308655,Lamb intake,p131036
0.12065499172767095,1.1282355945990077,0.050579398014698324,Pork intake,p131036
-0.0010706206267596687,0.9989299522830289,0.8843572643797458,Bread intake,p131036
0.0480860583524808,1.0492609491077503,0.024817817696525628,Cereal intake,p131036
9.566674145757426e-4,1.0009571251668075,0.9707063545958426,Water intake,p131036
-0.0828377416538442,0.9205004939912076,0.03024059314270448,Alcohol intake frequency,p131038
0.09562751044568647,1.1003491190956614,0.15101462414451358,Smoking status,p131038
-0.012590916326518622,0.9874880176295351,0.12592467304754548,% body fat,p131038
0.013260193940452723,1.0133485001998068,0.8620669578976318,Hours slept per day,p131038
0.061682484003904414,1.063624573291094,0.002093017199593005,TDI,p131038
0.24276971666325245,1.2747750308672297,0.10885520231250119,Education,p131038
0.012334798818151799,1.0124111862003222,0.6826245242806342,Days/week moderate activity,p131038
-0.0043713405628566125,0.9956381998397894,0.4560629135881342,Grip strength,p131038
-0.006811578048003535,0.99321156816585,0.8319428288472575,Cooked veg intake,p131038
-0.05728503400609576,0.944324866302634,0.3456268527401281,Raw veg intake,p131038
-0.06615960419517504,0.9359814658010751,0.28009667440029856,Fresh fruit intake,p131038
0.03035782503096192,1.0308233223559595,0.29248675870404983,Dried fruit intake,p131038
-0.04154710575285764,0.9593041455331359,0.37157475745047747,Oily fish intake,p131038
-0.04905876746644028,0.9521251740701215,0.2551981293316643,Non-oily fish intake,p131038
8.32421979843582e-5,1.0000832456627122,0.9985399842025175,Processed meat intake,p131038
0.004734133279648035,1.0047453569931317,0.8953288987850235,Poultry intake,p131038
-0.026461449606701458,0.9738855867842809,0.6134691471451834,Beef intake,p131038
0.20061095529496678,1.2221492086432737,0.001143661397424638,Lamb intake,p131038
0.11437801288172665,1.121175863708903,0.11892381735351781,Pork intake,p131038
0.007245505859766007,1.0072718180473292,0.2940130674405952,Bread intake,p131038
-0.003542163759588035,0.9964641023018066,0.8904018163076579,Cereal intake,p131038
-0.04523740383359633,0.9557705513041589,0.2748102429494148,Water intake,p131038
-0.00972866737578211,0.990318503016386,0.7078848066937523,Alcohol intake frequency,p131056
0.11550137723219614,1.1224360604022954,0.014534725518199943,Smoking status,p131056
-3.4364151267293904e-4,0.9996564175253089,0.9522359244539911,% body fat,p131056
-0.006484901804336812,0.9935360797923384,0.900590682914459,Hours slept per day,p131056
-3.607833211900352e-4,0.9996392817532862,0.9821142354933696,TDI,p131056
0.4024008856491557,1.4954107012186044,5.481193219823369e-4,Education,p131056
0.018853246248396602,1.0190320908612573,0.38577848002999315,Days/week moderate activity,p131056
-0.0074333704218628215,0.9925941887479338,0.13925164495666079,Grip strength,p131056
0.011051907974977276,1.0111132059215444,0.618079073348343,Cooked veg intake,p131056
-0.0039109453296963985,0.9960966924567569,0.8785889929556431,Raw veg intake,p131056
0.034225806905350056,1.0348182494545637,0.2797187777452326,Fresh fruit intake,p131056
0.0021965348514625302,1.002198949001404,0.9351333155325412,Dried fruit intake,p131056
-0.04112062858638722,0.9597133540997589,0.23074777340161592,Oily fish intake,p131056
0.011114396031754903,1.0111763903950817,0.7336746528630953,Non-oily fish intake,p131056
-0.0011193927198452738,0.9988812335664767,0.9697403149216337,Processed meat intake,p131056
0.036740684691294045,1.0374239660386384,0.16546596667269428,Poultry intake,p131056
0.007492756019575275,1.0075208969564438,0.8380700121231598,Beef intake,p131056
-0.014893904392347446,0.9852164611974437,0.7743517231541938,Lamb intake,p131056
0.02966049288686619,1.0301047466904705,0.5578861182592167,Pork intake,p131056
0.016413201110216175,1.0165486376634216,0.003231365078661203,Bread intake,p131056
0.015498495635509129,1.0156192201956704,0.38363710724324723,Cereal intake,p131056
-0.030693377186350883,0.969772881982524,0.19153751259682136,Water intake,p131056
-0.03201872501423479,0.9684884469494525,0.3131614410927202,Alcohol intake frequency,p131086
0.10026854021716915,1.1054677407666278,0.0708542009455805,Smoking status,p131086
0.020130372826526653,1.0203343552296769,0.0020621780445316575,% body fat,p131086
0.0638222249764556,1.065902891005587,0.2961431649212995,Hours slept per day,p131086
0.06366537680203406,1.0657357191936616,3.689271623131379e-4,TDI,p131086
0.1300536372043185,1.1388894685335071,0.31018472404863207,Education,p131086
-0.00307169967262603,0.9969330131700993,0.9063818401274736,Days/week moderate activity,p131086
-0.0016878143598221948,0.9983136091978214,0.7581161161094552,Grip strength,p131086
0.02380838321402656,1.0240940654752326,0.40471425121536236,Cooked veg intake,p131086
4.2241042603732295e-4,1.0004224996538844,0.9869933548881873,Raw veg intake,p131086
0.032912987398546534,1.033460611232644,0.4395270733925327,Fresh fruit intake,p131086
0.03806728839387881,1.0388011297864288,0.07260410272897787,Dried fruit intake,p131086
0.027343596237675166,1.0277208631268604,0.504977991841358,Oily fish intake,p131086
