coefficient,hazard_ratio,pval,protein,epv,disease,beta,nom_sig,fdr_sig,pval_fdr_corrected,bonf_sig,fdr_sig_permissive,pval_fdr_corrected_permissive
0.1457693218616221,1.1569292789746266,7.608869428327248e-06,kir2dl3,29.732142857142858,p132030,0.1113689201061966,1,1,0.000139207326424828,0,1,2.5391884263674932e-05
0.126371549605383,1.1347036886780626,1.1938149334284762e-05,kirrel2,29.892857142857142,p132030,0.1022088992510319,1,1,0.00020907028857078692,0,1,3.908004042164967e-05
-0.0892481463955586,0.9146185861071024,0.0131516407701701,kit,30.339285714285715,p132030,-0.0675609982853687,1,0,0.0818942406975824,0,1,0.028961380881520886
0.0926551086105549,1.0970832954294147,0.0003705699839889,klf4,29.678571428571427,p132030,0.0777554729821808,1,1,0.004376918447494854,0,1,0.0010141184191636253
0.0677411086294433,1.07008823600445,0.0036920774484347,klhl41,30.642857142857142,p132030,0.0693376496735739,1,1,0.030127764688332472,0,1,0.00881509905922267
0.1658604982215291,1.1804084211628534,1.952896087868455e-09,klk10,30.553571428571427,p132030,0.1291139506798821,1,1,6.700657459947476e-08,1,1,8.759533911790921e-09
0.2254997069492479,1.25294866693879,1.9918168580749968e-22,klk11,30.446428571428573,p132030,0.1917266709691275,1,1,2.427840118719284e-20,1,1,2.026517500201739e-21
0.1491699609868413,1.1608702751007092,8.601225783611879e-06,klk13,29.75,p132030,0.115917026456614,1,1,0.00015565616037130646,0,1,2.85404310092576e-05
0.0806062931930323,1.0839440563939586,0.0127310978155261,klk14,30.785714285714285,p132030,0.0625846331566437,1,0,0.07997870035912495,0,1,0.02812012528088972
0.0911048600230528,1.0953838612133997,0.0005603023931011,klk15,30.625,p132030,0.0808414600907614,1,1,0.006234792825272047,0,1,0.0014900573659883535
0.3682004964519537,1.4451317537187456,2.1805541951808646e-42,klk4,30.785714285714285,p132030,0.2925564996536592,1,1,7.843674655708559e-40,1,1,6.497161479518495e-41
0.1678904405122867,1.182807015818052,1.528824101246835e-06,klk6,30.553571428571427,p132030,0.1312604412842197,1,1,3.2352479328953595e-05,0,1,5.46409593101684e-06
0.219857670392104,1.2458993895956445,6.259995030817978e-13,klk8,29.428571428571427,p132030,0.174791202172506,1,1,3.326156310728439e-11,1,1,3.655837097997699e-12
-0.0936846779279599,0.9105698397460572,0.0051375493077122,klkb1,30.089285714285715,p132030,-0.0739935360040978,1,1,0.03933938524322474,0,1,0.012059199339646
0.3321591947430739,1.393974744300997,1.4574958029777377e-25,klrb1,30.803571428571427,p132030,0.2612205379702976,1,1,2.207478006401675e-23,1,1,1.7230314755850177e-24
0.0420718068727413,1.0429693684306462,0.0279602226910823,klrc1,29.678571428571427,p132030,0.0515472940998946,1,0,0.14305766382037985,0,0,0.057293930005586184
0.217449966600582,1.242903241277691,2.986033591003072e-10,klrd1,30.803571428571427,p132030,0.163956451227395,1,1,1.1481542018388264e-08,1,1,1.427040603228964e-09
0.0886224426815774,1.09266803362417,2.0923596061177963e-06,klrf1,29.910714285714285,p132030,0.0835631002136539,1,1,4.299926758339367e-05,0,1,7.352214259764098e-06
0.2415398603863056,1.2732082044769495,1.7864118554641991e-19,klrk1,30.714285714285715,p132030,0.2026273199806897,1,1,1.7851531858126393e-17,1,1,1.4777117897890826e-18
0.268673936405192,1.308228505805703,3.269159775848614e-20,krt18,30.392857142857142,p132030,0.2193252948577629,1,1,3.4418046929612987e-18,1,1,2.824244540082235e-19
0.3043210024056451,1.3557041705496309,6.074788985999464e-30,krt19,30.267857142857142,p132030,0.2472269757008512,1,1,1.1688082374612922e-27,1,1,9.536765504902384e-29
0.07055854785424,1.0731073957269115,0.0281565275881528,krt5,29.892857142857142,p132030,0.0576124160707622,1,0,0.1437804782919355,0,0,0.05757497237913598
0.0465765566876404,1.0476782827774718,0.031531758145928,krt6c,29.821428571428573,p132030,0.0520361573097833,1,0,0.155775923005958,0,0,0.06363008554672409
0.0784612376647155,1.0816214281772385,6.259609860078035e-10,krt8,29.678571428571427,p132030,0.1047297288836996,1,1,2.30424199817778e-08,1,1,2.9105192343037997e-09
0.1214197548310187,1.129098757569167,0.000199583540807,kynu,30.803571428571427,p132030,0.0983401331715637,1,1,0.002546707015142852,0,1,0.0005636208309056479
0.0768528234963374,1.0798831312727688,0.0173739205752442,l3hypdh,30.678571428571427,p132030,0.0580181017486381,1,0,0.10092227767567953,0,1,0.03716618906938686
0.2106786162299576,1.2345155380417432,3.670528732822668e-12,lag3,30.392857142857142,p132030,0.1711656841541243,1,1,1.7933567548948549e-10,1,1,2.0276168291804884e-11
0.5094736050146808,1.6644148246904606,4.858176934468059e-71,lair1,30.410714285714285,p132030,0.4065586819601506,1,1,5.575951515075017e-68,1,1,1.0912212806651334e-68
0.0701412933455139,1.0726597302294156,0.0050361313039284,lair2,30.285714285714285,p132030,0.0764188203549588,1,1,0.03874667667808521,0,1,0.011868848593600425
0.2011579277659292,1.2228178734697654,1.3960729354137123e-11,lama4,30.535714285714285,p132030,0.1570411610983369,1,1,6.371046703188847e-10,1,1,7.398426445386643e-11
0.1868739566395466,1.2054753333119177,2.2103856955401463e-08,lamb1,29.875,p132030,0.1457428878175036,1,1,6.486760031132892e-07,1,1,9.23365698280004e-08
