disease,protein,coefficient,pval,beta,nom_sig,fdr_sig,pval_fdr_corrected,bonf_sig,fdr_sig_permissive,pval_fdr_corrected_permissive
p131648,shmt1,-0.0689688655058378,0.0095309632083046,-0.0503357942098165,1,0,0.19954907430552765,0,0,0.18267201534672378
p131648,siglec1,0.0346190818444015,0.025481456241875,0.0287943628704582,1,0,0.3894182660999525,0,0,0.29673566784893146
p131648,sirt2,-0.0474012130617251,0.0123233588136127,-0.0346983684278195,1,0,0.24004014700200946,0,0,0.21969049539329308
p131648,skiv2l,-0.0161614401652458,0.0448550615059033,-0.016948489375648,1,0,0.5447851046234875,0,0,0.40736294851902116
p131648,slc13a1,-0.0135292255228206,0.0244036278916515,-0.0183515652123453,1,0,0.3787698305940057,0,0,0.29482482006211763
p131648,slc9a3r2,-0.0152869023828144,0.0158543051474152,-0.0182437742573651,1,0,0.28644958418219235,0,0,0.24335271884665666
p131648,slurp1,-0.0427257408554781,0.0230077166715639,-0.0398711931814459,1,0,0.36443721055210815,0,0,0.2876462586470846
p131648,smad2,-0.0456388541355642,0.0284534785316,-0.0360712376217837,1,0,0.4167322549579799,0,0,0.3183428169726236
p131648,snap29,-0.060150010886696,0.0,-0.0451387707393319,1,1,0.0,1,1,0.0
p131648,snapin,-0.0535981325162299,0.0270747190658315,-0.0425956573255676,1,0,0.4043480515991008,0,0,0.30830877379169624
p131648,sod1,-0.0483597699756265,0.0251439344086238,-0.0385461692963469,1,0,0.38605695618356756,0,0,0.2962290415906539
p131648,sort1,-0.0525754998659753,0.0203324127474635,-0.0398375033664172,1,0,0.336830740954945,0,0,0.26935783492969995
p131648,sparc,-0.0374962710660171,0.0,-0.0278265249630692,1,1,0.0,1,1,0.0
p131648,src,-0.0601936577020231,0.0,-0.0441417834373492,1,1,0.0,1,1,0.0
p131648,stat5b,-0.0497250335341672,0.0290509152389381,-0.0362533264328456,1,0,0.42221139465001384,0,0,0.320225355763562
p131648,stk24,-0.0463093006822927,0.0319618123463137,-0.0346032342228036,1,0,0.44822154057663854,0,0,0.3381161687038607
p131648,swap70,-0.0312840651504881,0.0154463932240348,-0.0288603584130561,1,0,0.28110555319869673,0,0,0.24244121538593752
p131648,tacc3,-0.0494746249414574,0.0426735045116991,-0.0363924827652606,1,0,0.5294658270346082,0,0,0.3937414729386166
p131648,tax1bp1,-0.0341657428230207,0.0,-0.028072977910174,1,1,0.0,1,1,0.0
p131648,tdo2,-0.0295589283182314,0.0314852132489653,-0.0331953700467258,1,0,0.44385366178668945,0,0,0.334298881849308
p131648,tek,0.0310495394116097,0.0,0.024359286544914,1,1,0.0,1,1,0.0
p131648,tf,-0.0275310749691572,0.0004466555215431,-0.0211406204775338,1,1,0.01680139933322372,0,1,0.014999315653679917
p131648,tfpi,-0.0291972697745982,0.026235971175436,-0.0237678303882337,1,0,0.3965568093226891,0,0,0.30307793901863667
p131648,tfpi2,-0.023639394009992,0.0,-0.020484436768466,1,1,0.0,1,1,0.0
p131648,thop1,-0.0506003319945374,0.0292126329040784,-0.0412854508609338,1,0,0.42371321153976,0,0,0.3207835886957354
p131648,thtpa,-0.0602988294231805,0.0079716070271902,-0.0454863444547795,1,0,0.17492944419960463,0,0,0.15877242134155378
p131648,timm8a,-0.0429662226397228,0.0,-0.0320013511993124,1,1,0.0,1,1,0.0
p131648,timp3,-0.0591914217682019,0.0109534701648567,-0.0433843443880836,1,0,0.21981973527800966,0,0,0.2027796271545266
p131648,tjap1,-0.0523004947422679,0.0,-0.038648546988374,1,1,0.0,1,1,0.0
p131648,tmed8,-0.0578558081659711,0.0,-0.0418630900201368,1,1,0.0,1,1,0.0
p131648,tmem106a,-0.0624865043861274,0.0392830261912181,-0.0487642863124472,1,0,0.5051537926338662,0,0,0.3756601974842314
p131648,tnfaip2,-0.03389037479591,0.0271957830431153,-0.0293112656457742,1,0,0.40547294437026093,0,0,0.30830877379169624
p131648,tnfrsf10b,0.0741649909939734,0.0001017516311331,0.0740787243082027,1,1,0.004481703223411424,0,1,0.003583642813565766
p131648,tnfrsf12a,-0.053998402531224,0.0,-0.0425037943171117,1,1,0.0,1,1,0.0
p131648,tnfrsf4,0.0415577867321304,0.0369775945824691,0.0340175494144345,1,0,0.4875432032723543,0,0,0.36447540325655553
p131648,tnfrsf8,0.040743396453931,0.045150892665142,0.0348876801774604,1,0,0.5465230815436455,0,0,0.40842345050022616
p131648,tnip1,-0.0552903929845953,0.0,-0.0421360542187051,1,1,0.0,1,1,0.0
p131648,tnxb,0.0263095246643042,0.0011231573257146,0.021639546945044,1,1,0.03695217688238649,0,1,0.03378831621524755
p131648,tp53i3,-0.0421587029017457,0.0323095326120229,-0.0330294034389327,1,0,0.4512510080912033,0,0,0.3393088370309896
p131648,treh,-0.0679484514032833,0.0029270572476607,-0.0511344440849289,1,0,0.08112282510809679,0,0,0.07350731592386175
p131648,trim21,-0.0594465244806758,0.0024916152353,-0.0526651120163842,1,0,0.07131370272834099,0,0,0.06576986337439805
p131648,trim24,-0.0350207183624206,0.0076545957407874,-0.0302226755972897,1,0,0.1699111676564466,0,0,0.15561460364837634
p131648,trim25,-0.0356866639785599,0.0,-0.026509466856499,1,1,0.0,1,1,0.0
p131648,tsc22d1,-0.0638695297808991,0.0072523447166488,-0.0521107427218815,1,0,0.163320961803065,0,0,0.1506818096523866
p131648,tsnax,-0.0642062675798565,0.0024594753967683,-0.0523063869666915,1,0,0.07066621184542211,0,0,0.06576819394321158
p131648,tspan1,-0.012308298372587,0.0190491544245157,-0.0169638646494609,1,0,0.3231838530645308,0,0,0.2596782496366423
p131648,txndc9,-0.0582295193081845,0.0,-0.0484698791945526,1,1,0.0,1,1,0.0
p131648,ubac1,-0.0588856122306645,0.0028072970234295,-0.0453156854407421,1,0,0.07830661761807671,0,0,0.071118191260214
p131648,ufd1,-0.065002463011923,0.0,-0.0472738696827481,1,1,0.0,1,1,0.0
p131648,usp47,-0.0377151627520257,0.0401313894375444,-0.0378725537177459,1,0,0.5117056615992275,0,0,0.38250644454002714
p131648,vegfc,-0.0602886234720399,0.0,-0.0432783855716769,1,1,0.0,1,1,0.0
p131648,vmo1,0.024050744665775,0.0368834437926159,0.0207859750445291,1,0,0.4869755274247926,0,0,0.36447540325655553
p131648,vnn2,-0.0244782426374536,0.0239920413044851,-0.0192861025053287,1,0,0.37477488233660794,0,0,0.293597522404038
p131648,vps28,-0.0496123531923794,0.0192798227534034,-0.0402439623165305,1,0,0.32555551368163005,0,0,0.26081418624544833
p131648,vps37a,-0.0446814418895491,0.0125561122361914,-0.0336892430969278,1,0,0.24294099437923186,0,0,0.22074669794634225
p131648,vps4b,-0.0714642903355461,0.0186870168223615,-0.0519867564333015,1,0,0.3197686857946535,0,0,0.2569909742046667
p131648,washc3,-0.0521919783764683,0.0,-0.0420738559329803,1,1,0.0,1,1,0.0
p131648,xcl1,0.0423164327042015,0.0091695271827961,0.0353735103031438,1,0,0.19358092789119916,0,0,0.17892969259402117
p131648,xrcc4,-0.0452054941365125,0.0173554578001781,-0.0387145213229721,1,0,0.30481346052859265,0,0,0.2527419239665555
p131648,yars1,-0.0658927735972741,0.0,-0.0478989909798712,1,1,0.0,1,1,0.0
p131648,zfyve19,-0.0646327369133529,0.0,-0.0478254644156877,1,1,0.0,1,1,0.0
p131648,znrd2,-0.0590364626569118,0.0011045878173282,-0.045306033105177,1,1,0.03643131870557882,0,1,0.033579469646777285
p131648,zp3,0.0573466322103187,0.0078807085242625,0.030289541950676,1,0,0.17345923994022222,0,0,0.1580519876254868
p131344,ace2,0.5476493735386615,0.0086124715577787,0.4770305225751018,1,0,0.1850007091716314,0,0,0.06546824082592714
p131344,acox1,0.2507968860335098,6.504300431586785e-10,0.2159040571529897,1,1,6.16691881478209e-08,1,1,9.387610379708488e-09
p131344,acp5,0.4582583140061016,1.9875823209503096e-10,0.3557635330003622,1,1,2.2635330333418773e-08,1,1,9.387610379708488e-09
p131344,acta2,0.153347580437251,7.622642517191023e-10,0.137829728055976,1,1,6.930998853120972e-08,1,1,9.387610379708488e-09
p131344,ada,0.2119014242571564,7.069534957437893e-10,0.1766877007924648,1,1,6.574008730223187e-08,1,1,9.387610379708488e-09
p131344,adam9,0.0834699889188065,8.895976177925036e-10,0.0696562886647558,1,1,7.812849485414746e-08,1,1,9.558391654154566e-09
p131344,adamts8,0.8294921841028315,8.757439218243237e-13,0.6209408109780271,1,1,1.4595579674121153e-10,1,1,2.5562965078052006e-09
p131344,adamtsl4,0.3424497328867668,3.4155955841441705e-10,0.2782394502612583,1,1,3.634196402063693e-08,1,1,9.387610379708488e-09
p131344,adgre5,0.3844244947086033,3.442539586728799e-10,0.3106645192096501,1,1,3.6570398078180556e-08,1,1,9.387610379708488e-09
p131344,adgrg2,0.0937645832311831,7.019832493071474e-10,0.0702799667504846,1,1,6.546854877372995e-08,1,1,9.387610379708488e-09
p131344,agr3,0.5435629362853669,0.0479277918506686,0.4310082103734287,1,0,0.5640399713146911,0,0,0.3129781306758426
p131344,agxt,0.3789118080143617,3.889087940578405e-10,0.2987224689436396,1,1,4.061159097661551e-08,1,1,9.387610379708488e-09
p131344,ahnak,0.3680838602608288,4.1058345612299263e-10,0.2914170760050388,1,1,4.245842456080157e-08,1,1,9.387610379708488e-09
p131344,aif1l,-0.154917005331115,1.076831179780413e-09,-0.1813259917824792,1,1,9.174613144057613e-08,1,1,1.091413268673273e-08
p131344,akr1c4,-0.8935086634318611,0.0066834527324681,-0.9642057079805708,1,0,0.1537627493558385,0,0,0.051611107211836996
p131344,alcam,0.1739015423992679,6.81608547381529e-10,0.1329443187512048,1,1,6.382934235640577e-08,1,1,9.387610379708488e-09
p131344,aldh3a1,0.1845807298630036,7.608007557280414e-10,0.1687028834303504,1,1,6.92549901159166e-08,1,1,9.387610379708488e-09
p131344,amotl2,0.0772028623222702,0.0045233439109619,0.0821950452081678,1,0,0.1144926609929822,0,1,0.0389012904837543
p131344,angptl3,1.0742059399214556,0.0023029010807895,0.813313686555096,1,0,0.06702382447398024,0,1,0.0214081791554922
p131344,anxa2,0.2093320842527543,7.147176184219004e-10,0.1842403999101652,1,1,6.626909903910146e-08,1,1,9.387610379708488e-09
p131344,ap1g2,-0.0485558341616138,0.00482892478555,-0.0370500068802573,1,0,0.12013248299857288,0,1,0.03992784071692037
p131344,ap2b1,0.2321150970934345,6.366536187130123e-10,0.2062758871881439,1,1,6.065113367053288e-08,1,1,9.387610379708488e-09
p131344,apobr,0.1527127452567707,7.830990300661256e-10,0.1243326269572338,1,1,7.060051193422244e-08,1,1,9.387610379708488e-09
p131344,apoh,0.3893703423367407,2.2747981276438622e-10,0.3528227607963459,1,1,2.5452392645427976e-08,1,1,9.387610379708488e-09
p131344,arg2,0.0201101564038518,0.0045072585561776,0.0221184845799818,1,0,0.1141216995515535,0,1,0.0389012904837543
p131344,arhgef10,-0.0972687417283464,0.0037783813090211,-0.0721083172788096,1,0,0.09946830201234194,0,1,0.03404041679331046
p131344,arsa,0.1447622237478437,7.971987514565624e-10,0.1173710247689419,1,1,7.148105851411319e-08,1,1,9.387610379708488e-09
p131344,atraid,0.2107980936967874,2.30750307750327e-10,0.193527087064794,1,1,2.58002436183165e-08,1,1,9.387610379708488e-09
p131344,atxn2l,-0.0279470927708512,0.0053890576149706,-0.0260051737934544,1,0,0.1302715948666587,0,1,0.0429799431095606
p131344,b4gat1,0.2185700009002861,6.530181950736844e-10,0.1662402472259375,1,1,6.180447546914039e-08,1,1,9.387610379708488e-09
p131344,bcam,0.2857827687374534,5.87966453302613e-10,0.2236315725350962,1,1,5.738243506513551e-08,1,1,9.387610379708488e-09
p131344,bcl7b,0.0260946200588424,0.0057892726373026,0.0292425920036049,1,0,0.13792065288494773,0,1,0.04554956018406009
p131344,bin2,-0.5002749139739269,2.573115054360642e-10,-0.376905541774324,1,1,2.8490736141088202e-08,1,1,9.387610379708488e-09
p131344,brd1,0.1914440505225723,7.633585985544753e-10,0.2194953117341522,1,1,6.933715300185171e-08,1,1,9.387610379708488e-09
p131344,bsg,0.3311034562526116,4.954179289029526e-10,0.2769173170208182,1,1,4.990593288220184e-08,1,1,9.387610379708488e-09
p131344,bst1,-0.3158249083130808,0.0341650157160769,-0.3417424868667792,1,0,0.4657181963892614,0,0,0.23085111313710294
p131344,bst2,0.4186786815791913,0.0261752483774998,0.3893622904338487,1,0,0.3959517794593563,0,0,0.18278839716249262
p131344,btn3a2,0.2405549515106409,7.041992544642992e-10,0.2064404558672653,1,1,6.55690996681194e-08,1,1,9.387610379708488e-09
p131344,c1qtnf6,0.0502988763273838,0.003257372546946,0.0540511694519376,1,0,0.08854075378075128,0,1,0.02971334520167304
p131344,c2orf69,0.3061653106914469,0.0389323876185431,0.3113311211034509,1,0,0.5029530572232174,0,0,0.2594603640605646
