p21003_i0,p31,p54_i0,p22000,p22008,p1558_i0,p20116_i0,p23099_i0,p1160_i0,p189,p6138_i0,p884_i0,p1438_i0,p1458_i0,p1528_i0,grip_strength,p1289_i0,p1299_i0,p1309_i0,p1319_i0,p1329_i0,p1339_i0,p1349_i0,p1359_i0,p1369_i0,p1379_i0,p1389_i0
0.12475817640092719,0.22580614932033347,0.25046813838275317,0.19019296893366805,0.19338376383616004,0.2909774212808537,0.24365265619308435,0.1302485223808318,-0.00810611685850173,0.0630097779099068,,0.0382059721040246,0.015435041642562403,-0.020529840086941344,-0.03825621371373831,-0.08545892446947628,-0.004285989385875662,-0.015584007549500158,-0.03732548672315621,-0.05747095452128243,0.25848340524976593,0.2574698219572485,0.30371667791988755,0.36039868028683525,0.2345668883899572,0.1822819424732428,0.18668662188975635
0.07353799388782503,-0.0025998502629119404,0.007680168814100312,-0.001698450368158737,-0.004282651796814925,-0.010089330344285295,0.009664779686238904,-0.09449328403032076,-0.004218526907062176,0.02501847086742015,0.03820597210402461,,0.0490737801784249,0.03125755434300455,0.06181337161757265,0.022523360293173648,0.09126852369904571,0.09396982757429781,0.0909177923915189,0.0733068101007056,-0.02686057385520148,-0.011834459746939082,0.006221840403908286,0.0014089863450432172,0.0017263834307147514,0.017236646862177452,0.01239098131795385
0.030090407857073936,0.3063541343452923,0.022715971382306733,0.010763478838375607,0.0007403628829294388,-0.0023710892343377474,4.960147513068572e-05,-0.21744439358051226,-0.004281088681137779,0.043199185025952345,0.015435041642562404,0.049073780178424904,,-0.04084596986472165,-0.07335948242071738,0.21516347781182024,-0.011422894983987974,-0.08218741801012164,-0.07996643435147571,-0.04970345705309185,-0.00023165828299987813,-0.0020979773026931587,-0.10494966134551975,0.019211829719687764,-0.008802102822104065,-0.0039338368943711,0.002484070741621567
0.10210725578056469,-0.017413073140007784,0.019535392914375192,-0.020033961983043136,-0.001784583098680839,0.05256088773258356,0.02904272147610089,-0.03918564818775492,0.03738178808518571,-0.097811120506296,-0.020529840086941337,0.031257554343004555,-0.040845969864721644,,0.022366674142190474,-0.021249641534020154,0.019823072443254326,0.00794215424244342,0.12400280161925992,0.12818454841560178,5.9493592748704755e-05,0.005710560704987636,0.04676064147145292,0.002267081828652041,0.006108577293730295,-0.010484376594887533,-0.0019555182742707635
-0.12060618638069316,-0.11918618976360573,-0.0200831130614028,-0.013560149835322905,0.0016987655516493446,0.019579790131437423,0.015774319615010402,0.07483479667132491,-0.02498955258139248,0.040650223203639355,-0.03825621371373829,0.06181337161757265,-0.07335948242071738,0.022366674142190495,,-0.0693468737806855,0.09210261602912469,0.1558215777546043,0.18582532048226358,0.08720261520654843,-0.0441014970211028,-0.04184349796517947,0.03819359519461686,-0.046152485587303026,0.001706463428485728,0.001902136983479467,-0.0018688217320167626
-0.19114783829647794,0.7321960394815472,-0.0026687163904487404,0.006186505406506376,0.004820608336325185,-0.027333867346373514,0.02178431648170987,-0.5378785976906423,-0.02121333104194751,-0.051036308897316925,-0.08545892446947627,0.022523360293173644,0.21516347781182024,-0.021249641534020147,-0.0693468737806855,,0.0010067519937409582,-0.06134857691419416,-0.08781402770556923,-0.04863710015647941,-0.004390121057148151,-0.0012877388340783512,-0.09786168111796985,-0.0211490361414499,-0.0065347112205243595,-0.0139698356296295,-0.024145121158363803
0.09331014342090019,0.002247565225095044,0.01121214105470365,-0.007592942106241227,0.0010109505880920616,-0.0065717255309980255,0.054051413838925734,0.007199205783498523,0.012098284136369661,-0.021120747958282164,-0.004285989385875647,0.0912685236990457,-0.011422894983987974,0.019823072443254326,0.09210261602912469,0.001006751993740957,,0.3254041610980726,0.16319305919590368,0.10107489944680446,-0.04030892948092573,-0.02006867531011478,0.026699845982017776,-0.03697743788392895,0.0005326145062778321,0.023300480031980066,0.028820136068115957
0.005097427471574694,-0.10586544155741368,0.0005209495004375131,-0.009331247637447295,-0.0031059613960355394,0.0024272338612517297,0.044272225766621945,0.04995682162120988,-0.00709959332978133,-1.0924361463376177e-05,-0.015584007549500156,0.09396982757429782,-0.08218741801012164,0.007942154242443404,0.1558215777546043,-0.061348576914194146,0.3254041610980726,,0.23075545294925834,0.12321335528127522,-0.06061734715796679,-0.05249585586572739,0.03407356724013227,-0.03249983299131637,0.007103152280507137,1.638409740502251e-05,0.0027340862172665985
0.08163220067337372,-0.11526239005228303,0.004953691109237763,-0.014348716201477867,-0.00027153176034785156,0.043366014149907865,0.055024938979205684,0.06168181717295007,-0.016128966390798628,-0.03045517120789202,-0.03732548672315622,0.09091779239151888,-0.0799664343514757,0.12400280161925992,0.18582532048226358,-0.08781402770556923,0.16319305919590368,0.23075545294925834,,0.1827940822754763,-0.05722171218505248,-0.030549544507475546,0.06149434958027875,-0.02401506155097736,0.001822279320260079,0.0006474890042759858,0.0010482111736249747
0.09167253325025165,-0.06490282593090717,7.697876924872029e-05,-0.011003570154964507,-0.0015191555784197946,0.007770630252482877,0.019948518045207204,-0.01377326013401104,0.0036048736504257104,-0.03490927485330919,-0.05747095452128239,0.0733068101007056,-0.04970345705309185,0.12818454841560176,0.08720261520654843,-0.048637100156479415,0.10107489944680446,0.12321335528127522,0.18279408227547628,,-0.03879615498182654,-0.011085446434761625,0.04227007776095821,0.0075293924774316595,0.0003005452033918606,0.00020097853793726384,-0.0033565131010416934
