coefficient,hazard_ratio,pvalue,covar,disease,disease_field
-2.584671796223594,0.0754208289403702,0.435159847342939,PC22,p131528,p131528
2.367385982694098,10.669465631830644,0.752694403965198,PC23,p131528,p131528
1.529703371896313,4.61680714441901,0.903530204115563,PC24,p131528,p131528
-3.414560880044847,0.0328908465579323,0.3765155253826338,PC25,p131528,p131528
2.438431045565904,11.45505417838852,0.8339332796534313,PC26,p131528,p131528
-4.485786946733319,0.0112680167018328,1.4438373167363904e-06,PC27,p131528,p131528
3.2984976466127183,27.071936737923966,0.263861128332753,PC28,p131528,p131528
-3.7821017069561496,0.0227747751863507,0.1250453827138455,PC29,p131528,p131528
3.899862447530341,49.39565414399107,0.4816798190968606,PC30,p131528,p131528
-2.729370201886692,0.0652603775909018,0.7722947713941614,PC31,p131528,p131528
-3.557994296920706,0.0284959217932378,0.0003380359921700591,PC32,p131528,p131528
-4.968226609662065,0.0069554718706417,0.0057840349829226,PC33,p131528,p131528
1.5660304396680869,4.787605733877402,1.965269105617287e-238,PC1,p131534,p131534
-0.5629337788577906,0.5695357185866078,0.7281282363816803,PC2,p131534,p131534
-0.5616031703727641,0.5702940520568728,0.7972269407842173,PC3,p131534,p131534
1.8746622871123368,6.518617327482891,0.0047738754749861,PC4,p131534,p131534
3.790073603691341,44.2596578302917,1.8513053172926937e-46,PC5,p131534,p131534
-1.369868494327164,0.254140378256815,0.4800672273992472,PC6,p131534,p131534
3.0007384270176005,20.10037410372805,3.553240918227389e-27,PC7,p131534,p131534
1.4201359895547754,4.1376830836740615,0.2685048559782037,PC8,p131534,p131534
-1.6852366303744335,0.1854005553620726,0.276142347408608,PC9,p131534,p131534
-2.555951629991004,0.0776183329770713,0.0053638694677806,PC10,p131534,p131534
-2.2384036951568373,0.1066285803157944,0.0102843704756516,PC11,p131534,p131534
-0.2595137350979873,0.7714266123011057,0.9399701236715786,PC12,p131534,p131534
-2.556530993171829,0.0775733767970225,0.00012925284277514115,PC13,p131534,p131534
-2.59011719118003,0.0750112489134374,0.0151207536268287,PC14,p131534,p131534
-0.5394540476243176,0.5830664920307417,0.8729075409162702,PC15,p131534,p131534
-0.4301939027578793,0.6503829714440451,0.905556087796272,PC16,p131534,p131534
3.191321551488974,24.320547069742283,3.5854239587303494e-07,PC17,p131534,p131534
2.372179636535773,10.720734140311215,0.0116116831067622,PC18,p131534,p131534
2.0341317855019945,7.645611212526517,0.1396915479531351,PC19,p131534,p131534
-2.7801569616701247,0.0620287704738086,0.000767389025902051,PC20,p131534,p131534
-1.5357997542561004,0.2152834484488332,0.564476761641313,PC21,p131534,p131534
-2.691481991655876,0.0677804148926375,0.0250043115359992,PC22,p131534,p131534
3.062863272474069,21.388711278056498,0.0004575760796071218,PC23,p131534,p131534
2.386389240068269,10.874158993662878,0.0915924733275922,PC24,p131534,p131534
-2.377307881230324,0.0928000703386829,0.0126488784122445,PC25,p131534,p131534
-1.178930096333685,0.3076076731829212,0.7369926905959258,PC26,p131534,p131534
-2.9466679799873914,0.0525143937661383,0.0061080203163515,PC27,p131534,p131534
-2.435120888875012,0.0875871580950195,0.0797480135688714,PC28,p131534,p131534
-2.71456868996668,0.066233514026445,0.0262681177499463,PC29,p131534,p131534
0.659316600520043,1.9334705500316955,0.8637335780977754,PC30,p131534,p131534
2.0393642696645533,7.685721599075548,0.171603562027613,PC31,p131534,p131534
-2.964519220245976,0.0515852644348702,2.6644173434309165e-05,PC32,p131534,p131534
1.6415990403859504,5.163419430699696,0.3096623569767512,PC33,p131534,p131534
2.159253706727966,8.664668860878356,5.717387294109261e-63,PC1,p131538,p131538
2.5442870712536703,12.734146310156152,0.1792496056619815,PC2,p131538,p131538
0.1006710092689009,1.1059127468645584,0.997536290182113,PC3,p131538,p131538
-1.9841199778907064,0.1375015653068203,0.4359522940383913,PC4,p131538,p131538
1.795330825958102,6.021466449738847,0.6165326763123771,PC5,p131538,p131538
-4.021290119624604,0.0179298184012266,0.0573193362941016,PC6,p131538,p131538
2.1725532742786764,8.780674914964784,0.7317623673120504,PC7,p131538,p131538
3.807638011732541,45.04391990723399,0.0239320253424747,PC8,p131538,p131538
2.3036234215496894,10.010388678053618,0.695276650948508,PC9,p131538,p131538
1.5338446480229355,4.63596626184338,0.9148757953231588,PC10,p131538,p131538
-5.380478227226206,0.0046056188709157,1.4673595620685833e-15,PC11,p131538,p131538
-3.4478520841945417,0.0318138966145757,0.2907010326452364,PC12,p131538,p131538
2.400621185769205,11.030025948147369,0.1062637919868107,PC13,p131538,p131538
2.30746412479164,10.04890953654389,0.655570251390965,PC14,p131538,p131538
-2.6459194983104317,0.0709400944443456,0.6338982169089267,PC15,p131538,p131538
3.486838294462999,32.6824518916935,0.00035552352417513847,PC16,p131538,p131538
3.8581155758340153,47.37599073679807,0.0014470878517676,PC17,p131538,p131538
2.2918949405603133,9.893667841781635,0.8567284478534289,PC18,p131538,p131538
-2.942048371125196,0.0527575509380561,0.5950838414277414,PC19,p131538,p131538
-3.1591928977851778,0.0424599968121818,0.5763769196412216,PC20,p131538,p131538
3.4731870089530315,32.239325911030015,9.162874784076754e-05,PC21,p131538,p131538
-5.309509442649047,0.004944351610885,0.0673781194832023,PC22,p131538,p131538
4.124145738208878,61.81498051282358,0.1469285141567336,PC23,p131538,p131538
3.79915848442228,44.66358357330603,2.118474341283635e-05,PC24,p131538,p131538
3.437997253664707,31.124561105729335,0.0569825488770844,PC25,p131538,p131538
4.4997522765333,89.99483470650249,6.39548919408323e-05,PC26,p131538,p131538
1.6522445083426949,5.218680062568198,0.9200725864318192,PC27,p131538,p131538
-4.938428801087468,0.0071658485052807,0.0044534006321346,PC28,p131538,p131538
-3.9090169433239392,0.0200602116967926,0.2254621962372114,PC29,p131538,p131538
2.549353332959315,12.798824528009224,0.5058994242961489,PC30,p131538,p131538
-4.318105161652548,0.0133251085629173,0.0054985580429395,PC31,p131538,p131538
-3.526643357347597,0.0294034472724109,0.7148513871357418,PC32,p131538,p131538
5.343024905936911,209.1443965384505,0.00038486421774523456,PC33,p131538,p131538
1.5623672315789527,4.770099821301874,1.6847238302482002e-119,PC1,p131546,p131546
1.8470790809478328,6.341270108446798,0.0009262482184915196,PC2,p131546,p131546
2.4283310757941656,11.339940776942951,6.600525497566428e-08,PC3,p131546,p131546
3.0736811445981087,21.6213476682092,2.1137036121856426e-07,PC4,p131546,p131546
3.13507699756961,22.990405979270548,1.0901229224874183e-10,PC5,p131546,p131546
1.889145692077403,6.613716116795271,0.2254477617273469,PC6,p131546,p131546
3.7915387669949,44.32455298616395,2.941113779421057e-39,PC7,p131546,p131546
-1.5382011660080257,0.2147670844951129,0.3973516648063422,PC8,p131546,p131546
-3.1344190718802585,0.0435250314010192,1.2114417207182117e-07,PC9,p131546,p131546
2.741418473594063,15.508968563548592,0.0604023155092753,PC10,p131546,p131546
1.8615305089638388,6.433575885644756,0.3559647027214679,PC11,p131546,p131546
-1.915085568627212,0.147329225287219,0.4843393788037181,PC12,p131546,p131546
-1.700364176093914,0.1826170071931828,0.6751191418701016,PC13,p131546,p131546
3.678897954705002,39.60272601702844,1.8956155447377145e-17,PC14,p131546,p131546
0.6713004044294755,1.9567802725785703,0.929388009461183,PC15,p131546,p131546
3.781645367778864,43.88819458154913,6.692463514479079e-05,PC16,p131546,p131546
-1.9999583633720128,0.1353409182587652,0.2374641615375665,PC17,p131546,p131546
2.9868165623200564,19.822478317282023,0.0007573179235179475,PC18,p131546,p131546
3.140604935761873,23.117847442273717,2.886495890654371e-07,PC19,p131546,p131546
1.5002871210310298,4.482976042274209,0.7296502768569055,PC20,p131546,p131546
2.24000774776901,9.393404065085765,0.1654788356434308,PC21,p131546,p131546
0.9479363206278314,2.580379085818591,0.9013231268427456,PC22,p131546,p131546
-1.5349381304587562,0.2154690217268866,0.7293808115079623,PC23,p131546,p131546
1.338399149610174,3.812934679045108,0.7998401085336758,PC24,p131546,p131546
-1.049135569681046,0.3502403766926173,0.883030279944299,PC25,p131546,p131546
0.5210023363122399,1.6837144523209064,0.954253736604498,PC26,p131546,p131546
-2.349640172906131,0.0954034847987617,0.3918552603685332,PC27,p131546,p131546
-3.84494550579214,0.0213875670279244,0.0012822286274521,PC28,p131546,p131546
-2.7933707398755523,0.0612145275187863,0.0003792866680667561,PC29,p131546,p131546
-2.398184789680576,0.0908827750021602,0.428393184814629,PC30,p131546,p131546
-3.4277091545348357,0.0324612192971331,0.0009692996119782458,PC31,p131546,p131546
-0.8355885402899085,0.4336192039478156,0.9105366475922436,PC32,p131546,p131546
-0.1941918115759117,0.8234999322988575,0.985248747242676,PC33,p131546,p131546
1.5373345129873717,4.652173422028018,4.30429819544638e-175,PC1,p131602,p131602
2.2408082964364326,9.40092695300981,1.4516647020243602e-15,PC2,p131602,p131602
2.100837461018864,8.173011625977118,2.4308822979722176e-12,PC3,p131602,p131602
2.812513585740147,16.65172118803049,1.4867415096687644e-05,PC4,p131602,p131602
2.154413687604479,8.622833022691207,2.7638475920140816e-08,PC5,p131602,p131602
2.1661892442085016,8.724971871692434,3.6281877914318554e-13,PC6,p131602,p131602
0.9841470767564736,2.675528890170869,0.6387659207651261,PC7,p131602,p131602
-1.7466965643287125,0.1743489437092628,0.1946362230368056,PC8,p131602,p131602
0.5279868207917287,1.6955154939027497,0.8468793129300304,PC9,p131602,p131602
-1.4740078057654535,0.2290058326269768,0.4708202263242428,PC10,p131602,p131602
-1.5626543753961455,0.2095790308077456,0.1309748561505155,PC11,p131602,p131602
0.7201433127016487,2.0547276581161893,0.7892504272265332,PC12,p131602,p131602
-0.6733646991757493,0.5099897256883814,0.8218466468507283,PC13,p131602,p131602
-0.4444103873234894,0.6412022255598501,0.8938166833962392,PC14,p131602,p131602
2.7800306763484635,16.119515428315424,0.0004667399071440599,PC15,p131602,p131602
-0.4641359880543533,0.6286780559481985,0.8814374012861173,PC16,p131602,p131602
2.745961794075732,15.579591086970424,3.306342002687354e-06,PC17,p131602,p131602
-3.000385749766989,0.0497678667215953,4.17678091029998e-08,PC18,p131602,p131602
-0.3804523786723175,0.683552114860366,0.9136619891389302,PC19,p131602,p131602
-3.169977437358809,0.0420045456262453,4.4499738753841874e-07,PC20,p131602,p131602
1.848685050110872,6.351462174576861,0.1605946396809178,PC21,p131602,p131602
0.7962836612285632,2.217285414098129,0.784845873023937,PC22,p131602,p131602
-1.4234808702654722,0.2408741044241115,0.499258295613475,PC23,p131602,p131602
-0.0582557386025457,0.943408650573725,0.9879051766737564,PC24,p131602,p131602
2.9251057848546984,18.636197373060337,6.5674720403915135e-06,PC25,p131602,p131602
0.5671574457137771,1.7632477934837765,0.8677855307685656,PC26,p131602,p131602
1.4823823610847289,4.403423740060666,0.5987928358718898,PC27,p131602,p131602
-0.1808749015811464,0.8345397517693659,0.962186786640523,PC28,p131602,p131602
-1.4621810740878332,0.2317303021910669,0.5869721536053774,PC29,p131602,p131602
-2.3987728311703096,0.0908293478699816,0.1125241479824409,PC30,p131602,p131602
2.765110851967062,15.880800310997524,0.0031461172247078,PC31,p131602,p131602
-1.9339329124036488,0.1445784644248909,0.2590706436058908,PC32,p131602,p131602
-3.293945194844066,0.0371071652406994,0.00011354147316695472,PC33,p131602,p131602
1.835934115123272,6.270989236228974,7.536936187929758e-69,PC1,p131632,p131632
2.533711623565667,12.600186602445508,0.5332952901706961,PC2,p131632,p131632
1.6780786187711898,5.355256590283959,0.6141855118731875,PC3,p131632,p131632
-1.7706099290480055,0.1702291294643315,0.1054127966731465,PC4,p131632,p131632
3.107259717053559,22.35968849979233,0.0860059425874826,PC5,p131632,p131632
4.740627346340027,114.50601408102482,3.4723496620414124e-12,PC6,p131632,p131632
-3.534445103286111,0.0291749415778038,0.0046454407627174,PC7,p131632,p131632
-2.837860241375431,0.0585508166355075,0.000317546322149467,PC8,p131632,p131632
-2.2412189029228444,0.1063288208489765,0.1918219223058943,PC9,p131632,p131632
-4.056837950948372,0.0173036476834702,4.43004708050236e-10,PC10,p131632,p131632
-2.899966597190988,0.0550250580172143,1.5049203633791536e-14,PC11,p131632,p131632
-4.292149864005968,0.0136754932205809,1.11349831587047e-05,PC12,p131632,p131632
4.280969550912624,72.31051475689215,0.0067488193787351,PC13,p131632,p131632
-1.46133110362025,0.2319273498348494,0.9136541910393668,PC14,p131632,p131632
-3.1000379080700267,0.0450474946976067,0.3652676077837528,PC15,p131632,p131632
