coefficient,pvalue,var_explained,covar,disease_field
-1.0323967839573246e+19,0.9999231417493096,-1,PC26,p130846
3723377938465756.0,0.0,-1,PC1,p131022
12.787371946391756,2.2878385895627123e-14,-1,PC2,p131022
5.676839101945347,5.357728953880724e-05,-1,PC3,p131022
4.625898798666018,1.2186581078236377e-07,-1,PC4,p131022
-0.644612202192424,0.9214500837431572,-1,PC5,p131022
3.0495063805227964,0.0982308706618194,-1,PC6,p131022
-3.4999663799854046,0.0323123771317394,-1,PC7,p131022
9.919307470418635,5.543140082397542e-15,-1,PC8,p131022
6.488650198788026,1.1304587710584658e-08,-1,PC9,p131022
8.322379771556523,2.4612770388118144e-11,-1,PC10,p131022
5.640528350047693,0.00020098411433567225,-1,PC11,p131022
7.1497609158052455,2.994887495266567e-07,-1,PC12,p131022
9.483089336557766,5.5357176690373374e-11,-1,PC13,p131022
-4.71181704166966,0.0021995464279747,-1,PC14,p131022
8.692348346372023,3.0950361573357246e-08,-1,PC15,p131022
-1.9135826144131285,0.6509620660940187,-1,PC16,p131022
7.100707535514975,3.8156856568117305e-06,-1,PC17,p131022
-10.167267192563042,2.191497650148285e-06,-1,PC18,p131022
5.7691093985359485,0.0234728845563303,-1,PC19,p131022
-6.826479111775732,0.0011147044792908,-1,PC20,p131022
5.209526298153337,0.001149858073271,-1,PC21,p131022
15.646940133693391,6.9134741086673905e-09,-1,PC22,p131022
-5.814850934189498,0.0014798172034243,-1,PC23,p131022
8.036224921569088,0.0011349598285007,-1,PC24,p131022
-9.209909703699386,0.008748625723278,-1,PC25,p131022
-11.660375047922468,2.3344093422703383e-05,-1,PC26,p131022
2896085686725206.5,0.0,-1,PC1,p131038
16.07673674513677,9.192267435247285e-14,-1,PC2,p131038
8.716042480771966,3.9871819298483524e-15,-1,PC3,p131038
4.228151762347323,2.195206105049511e-05,-1,PC4,p131038
6.009455293264136,5.080587569668739e-05,-1,PC5,p131038
2.595516237304249,0.0410645200861608,-1,PC6,p131038
16.48433219175068,8.768727118017238e-06,-1,PC7,p131038
4.505962889980703,0.0022833869955624,-1,PC8,p131038
4.261030012799514,0.0029874136256581,-1,PC9,p131038
3.214022901511962,0.3346688987336103,-1,PC10,p131038
6.826543498248452,1.9017957572844912e-06,-1,PC11,p131038
-9.675401674863606,0.0002999687509711926,-1,PC12,p131038
5.211006988972679,0.00049055154729647,-1,PC13,p131038
11.55304866472328,7.108698115757402e-11,-1,PC14,p131038
1.6690549093181606,0.9031540763274548,-1,PC15,p131038
5.759901145783628,0.1377981751882123,-1,PC16,p131038
8.825473140768848,0.0151638118410463,-1,PC17,p131038
4.149904293394153e-12,0.9999999999999102,-1,PC18,p131038
6335089501213533.0,0.0,-1,PC19,p131038
61.28442636576819,6.53059654199299e-06,-1,PC20,p131038
10.84748402013367,0.0097735745968693,-1,PC21,p131038
-6976713144394012.0,0.0010440404410855,-1,PC22,p131038
2.078870475849941e+16,7.341618893750299e-05,-1,PC23,p131038
1.5668381754428086e+16,1.6769888666339512e-05,-1,PC24,p131038
7.343973219963638e+16,1.1392037057886886e-08,-1,PC25,p131038
-1.9095787030517124e+16,0.00024550767225130774,-1,PC26,p131038
3928621981428159.0,0.0,-1,PC1,p131056
-2.68055743404519,9.382325835103377e-09,-1,PC2,p131056
-2.127998057366747,0.00014940433795189648,-1,PC3,p131056
-1.126588986549076,0.3509189410454372,-1,PC4,p131056
-6.027981414059161,1.549353161222723e-29,-1,PC5,p131056
3.2574444083644205,5.571572670551086e-06,-1,PC6,p131056
-6.188847743553145,1.379720135336494e-21,-1,PC7,p131056
4.370244121848313,1.7501595225955286e-10,-1,PC8,p131056
-1.4994905253554989,0.2545932463807026,-1,PC9,p131056
-2.7982383522098684,0.0019005590389761,-1,PC10,p131056
-2.5988224665743465,0.0050388187956188,-1,PC11,p131056
4.985178118771144,2.725670107152512e-12,-1,PC12,p131056
-1.4118594695040338,0.3236225209410527,-1,PC13,p131056
0.2123347098528315,0.9170067860557052,-1,PC14,p131056
5.132136432679352,1.2575672962596334e-12,-1,PC15,p131056
4.161632465257749,3.0668010373594404e-09,-1,PC16,p131056
4.216583685224991,3.7628670614150115e-09,-1,PC17,p131056
-7.407560341362458,5.676439194757883e-20,-1,PC18,p131056
5.789348361171497,8.174968842930703e-13,-1,PC19,p131056
-3.391080544061108,0.0038323829172662,-1,PC20,p131056
7.33625412186783,7.591539738446677e-17,-1,PC21,p131056
-6.55919862940076,4.67827929549793e-09,-1,PC22,p131056
-4.101375637814428,0.0020440889981304,-1,PC23,p131056
2.602204795034067,0.0908591533114736,-1,PC24,p131056
2.852097818297412,0.0341443962204295,-1,PC25,p131056
-6.548284137277981,8.408292190319418e-11,-1,PC26,p131056
1997.4613297834744,0.98534242922457,-1,PC1,p131086
5.279489876710707,2.894902708337324e-15,-1,PC2,p131086
