coefficient,pvalue,var_explained,covar,disease_field
0.2780129610820574,0.3622371581988117,-1,plate_row,p130828
-0.5972425620649295,0.1525030944949711,-1,plate_column,p130828
1.3862943611198753,0.232227105931363,-1,mean_date_processing,p130828
-0.0003612139914736559,0.1800394311986966,-1,storage_time,p130828
-0.4794973713733071,0.2647377664965303,-1,batch,p130828
0.2356737095264756,0.0106024131731748,-1,age,p130842
0.1670293518276925,0.8132871864052423,-1,sex,p130842
23.620751967786703,0.9999470717949248,-1,date_centre,p130842
18.96257648643992,0.9979917450000956,-1,centre,p130842
22.471723554143505,0.9996165672481112,-1,plate,p130842
20.321679466899585,0.9985309222007882,-1,well,p130842
17.319700443746832,0.993147074721503,-1,plate_row,p130842
-0.7100912157816712,0.5621431558745544,-1,plate_column,p130842
21.39168130269002,0.9989487222003718,-1,mean_date_processing,p130842
-0.0015111796233742,0.2175471167986838,-1,storage_time,p130842
14.885200282263876,0.9912322023392682,-1,batch,p130842
-0.0043307894125076,0.9516166398883882,-1,age,p130846
-0.5262019034310413,0.6674651867695971,-1,sex,p130846
23.92701119069088,0.9999463922879224,-1,date_centre,p130846
19.29993974889905,0.99876026030781,-1,centre,p130846
22.48853107962527,0.9996162804836644,-1,plate,p130846
20.636479326302457,0.999095155971382,-1,well,p130846
18.21257142630526,0.9973489558678044,-1,plate_row,p130846
0.6768548684085096,0.5805855143143877,-1,plate_column,p130846
21.31904445137833,0.9993645327962144,-1,mean_date_processing,p130846
-0.000665833218479863,0.7302155702372355,-1,storage_time,p130846
16.839425108368342,0.9977867543910636,-1,batch,p130846
0.101267621673482,1.8826999405779958e-07,-1,age,p131022
0.6428205367740542,0.0076327443809345,-1,sex,p131022
23.566002727729707,0.9997633707409048,-1,date_centre,p131022
1.3155977043844655,0.2188374688064116,-1,centre,p131022
20.19877239330043,0.9984553886881612,-1,plate,p131022
18.038859876716963,0.9941557018595788,-1,well,p131022
0.8752733294328368,0.0515676364503859,-1,plate_row,p131022
-1.117838317647642,0.1708512609243447,-1,plate_column,p131022
18.71592090844661,0.9958778511477528,-1,mean_date_processing,p131022
-0.0004693938853216276,0.2290181011003614,-1,storage_time,p131022
-0.3010878177458563,0.6442660734875009,-1,batch,p131022
0.0032987610509969,0.8951482753051081,-1,age,p131038
0.9214197859836863,0.0316779846101606,-1,sex,p131038
23.959031770460037,0.9999115430061484,-1,date_centre,p131038
17.46425592240613,0.994972365995674,-1,centre,p131038
-0.2196286092067834,0.8775409208141964,-1,plate,p131038
19.329626559816106,0.9976961428677088,-1,well,p131038
-1.113904905241357,0.3347949537508512,-1,plate_row,p131038
1.0959867538484065,0.1797115034450923,-1,plate_column,p131038
19.74578693558477,0.9984000953894032,-1,mean_date_processing,p131038
0.0008921095908870235,0.1870405854344388,-1,storage_time,p131038
-0.4249318396648097,0.6981906318742627,-1,batch,p131038
